VIN,predicted price,Stock #,Cab Type,Drivetrain,Rear Wheels,Fuel Type,Transmission,Color,Vehicle Trim
1FT7W2BT3HEE83496,46374.5,00A10216,Crew,4x4,SRW,Diesel,TorqShift 6-Speed Automatic,Silver,Lariat
1FT7W2BT4KEC98980,46374.5,00A10240,Crew,4x4,SRW,Diesel,TorqShift 6-Speed Automatic,White,Lariat
1FTEW1CG7HKD75337,47794.33,00A10278,SuperCrew,4x2,SRW,Gasoline,10-Speed Automatic,White,XL
1FTEW1E53KFB85045,57883.33,00022782,SuperCrew,4x4,SRW,Flex Fuel,10-Speed Automatic,Red,XLT
1FTEW1E52KKE08280,57883.33,00022829,SuperCrew,4x4,SRW,Flex Fuel,10-Speed Automatic,Silver,XLT
1FT8W3BT4KEG52488,46374.5,00022854,Crew,4x4,SRW,Diesel,TorqShift 6-Speed Automatic,Black,LARIAT
1C6RREHM3LN246301,46452.17,00022800,Crew,4x2,SRW,Diesel,8-Speed Automatic,White,Limited
1FTEW1C50LFA26164,47794.33,00022793,SuperCrew,4x2,SRW,Flex Fuel,10-Speed Automatic,White,XLT
1FT7W2A63MED48086,43301.83,00210341,Crew,4x2,SRW,Flex Fuel,6-Speed Automatic,White,XL
1FTEW1EP6MKD82738,51523.83,00210384,SuperCrew,4x4,SRW,Gasoline,10-Speed Automatic,White,XL
1FT7W2A68MED48083,43301.83,00210335,Crew,4x2,SRW,Flex Fuel,6-Speed Automatic,White,XL
1FTFW1RGXLFC42536,51523.83,00J01046,SuperCrew,4x4,SRW,Gasoline,10-Speed Automatic,White,Raptor
1FTER4FH4LLA74475,51523.83,0RV01812,SuperCrew,4x4,SRW,Gasoline,10-Speed Automatic,Gray,XLT
1FTER4EH2LLA64352,47794.33,0RV01354,SuperCrew,4x2,SRW,Gasoline,10-Speed Automatic,Blue,XLT
1FTEX1CP6HKD32721,44075.67,00A10686,Super,4x2,SRW,Gasoline,6-Speed Automatic Electronic,White,XL
1C6SRFJT2LN339383,44763.67,S-B503980R,Crew,4x4,SRW,Gasoline,Automatic,Gray,Laramie
1GCRWBEKXMZ285352,29991.33,MZ285352,Double,4x2,SRW,Gasoline,8-Speed Automatic,Silver,Custom
1GCRWBEK4MZ281118,29991.33,MZ281118,Double,4x2,SRW,Gasoline,8-Speed Automatic,White,Custom
1GCRWBEK3MZ278033,29991.33,MZ278033,Double,4x2,SRW,Gasoline,8-Speed Automatic,Black,Custom
1GCRWBEKXMZ284282,29991.33,MZ284282,Double,4x2,SRW,Gasoline,8-Speed Automatic,Red,Custom
1GC4YNEYXMF236633,43723.33,MF236633,Crew,4x4,SRW,Diesel,10-Speed Automatic,White,LT
1GCPWBEK5MZ286786,42379.5,MZ286786,Crew,4x2,SRW,Gasoline,8-Speed Automatic,Black,Custom
1GCRWBEH3MZ257333,31534.17,MZ257333,Double,4x2,SRW,Gasoline,6-Speed Automatic Electronic with Overdrive,Gray,Custom
3GCPCREC6HG323795,43301.83,48869A,Crew,4x2,SRW,Flex Fuel,6-Speed Automatic Electronic with Overdrive,Blue,LT
1C6SRFJT8LN281957,51303.33,R01151,Crew,4x4,SRW,Gasoline,8-Speed Automatic,White,Laramie
1FTFW1C84MKD73522,44075.67,G10658,SuperCrew,4x2,SRW,Gasoline,AUTOMATIC,AGATE BLACK,XLT C
1FTER4FH1MLD00067,44075.67,G10620,SuperCrew,4x4,SRW,Gasoline,AUTOMATIC,ICONIC SILVER,XLT C
1FTEW1CP0MKD82608,44075.67,G10657,SuperCrew,4x2,SRW,Gasoline,AUTOMATIC,LEAD FOOT,XL STX C
1FTFW1E82MFA84161,44075.67,G10350,SuperCrew,4x4,SRW,Gasoline,AUTOMATIC,ICONIC SILVER,XLT C
1FTEW1CP1MKD46572,44075.67,G10404,SuperCrew,4x2,SRW,Gasoline,AUTOMATIC,CARBONIZED GRA,XLT C
1FTEX1CB9MKD82611,43242.33,G10597,Super,4x2,SRW,Gasoline,AUTOMATIC,OXFORD WHITE,XL C
1FTFW1E52MKD82609,44075.67,G10659,SuperCrew,4x4,SRW,Gasoline,AUTOMATIC,LEAD FOOT,XL STX C
1FTER1FH2MLD00058,39063.33,G10262,Super,4x4,SRW,Gasoline,AUTOMATIC,RAPID RED,LARIAT L
1FT7W2BTXMEC61810,46374.5,G10511T,Crew,4x4,SRW,Diesel,AUTOMATIC,AGATE BLACK,LARIAT L
1FTFW1E8XMFA70900,39063.33,G10375T,SuperCrew,4x4,SRW,Gasoline,AUTOMATIC,CARBONIZED GRA,LARIAT L
1FTEX1CP2MKD82610,43242.33,G10641,Super,4x2,SRW,Gasoline,AUTOMATIC,SPACE WHITE,XL STX C
1FTER4EHXMLD10274,44075.67,G10293,SuperCrew,4x2,SRW,Gasoline,AUTOMATIC,VELOCITY BLUE,XLT C
1FTER1EH3MLD00054,43242.33,G10239,Super,4x2,SRW,Gasoline,AUTOMATIC,OXFORD WHITE,XLT L
1FTER4FH1MLD00070,39063.33,G10253,SuperCrew,4x4,SRW,Gasoline,AUTOMATIC,SHADOW BLACK,LARIAT L
1FTEX1CP9MKD87447,43242.33,G10640,Super,4x2,SRW,Gasoline,AUTOMATIC,OXFORD WHITE,XL V
1FTER4FH3MLD00071,44075.67,G10188,SuperCrew,4x4,SRW,Gasoline,AUTOMATIC,RACE RED,XLT C
1FTEW1CP4MKD33587,44075.67,G10359,SuperCrew,4x2,SRW,Gasoline,AUTOMATIC,ANTIMATTER BLU,XLT C
1FTER4EHXMLD23574,44075.67,G10541,SuperCrew,4x2,SRW,Gasoline,AUTOMATIC,ICONIC SILVER,XLT C
1FTEW1CP4MFA52592,44075.67,G10183,SuperCrew,4x2,SRW,Gasoline,AUTOMATIC,CARBONIZED GRA,XL STX C
1FTFW1C81MFA60985,39063.33,G10510T,SuperCrew,4x2,SRW,Gasoline,AUTOMATIC,OXFORD WHITE,LARIAT L
1FTEW1C53MFA78793,44075.67,G10339,SuperCrew,4x2,SRW,Gasoline,AUTOMATIC,OXFORD WHITE,XL STX C
1FTER4FH4MLD32267,44075.67,G10560,SuperCrew,4x4,SRW,Gasoline,AUTOMATIC,SHADOW BLACK,XLT C
1FTER4EH3MLD23576,44075.67,G10543,SuperCrew,4x2,SRW,Gasoline,AUTOMATIC,CACTUS GRAY,XLT C
1FTER4EH0MLD00062,39063.33,G10273,SuperCrew,4x2,SRW,Gasoline,AUTOMATIC,RACE RED,LARIAT L
1FTER4EH9MLD32265,39063.33,G10542,SuperCrew,4x2,SRW,Gasoline,AUTOMATIC,ICONIC SILVER,LARIAT L
1FTER4EH2MLD32253,44075.67,G10648,SuperCrew,4x2,SRW,Gasoline,AUTOMATIC,CARBONIZED GRA,XL STX C
1FTER4FH3MLD00068,39063.33,G10530,SuperCrew,4x4,SRW,Gasoline,AUTOMATIC,RACE RED,LARIAT L
1FTFW1E84MKD46575,44075.67,G10411,SuperCrew,4x4,SRW,Gasoline,AUTOMATIC,CARBONIZED GRA,XLT C
1FTER1EH5MLD00055,43242.33,G10282,Super,4x2,SRW,Gasoline,AUTOMATIC,RAPID RED,XLT C
1FTER4FH0LLA02379,44075.67,G01707T,SuperCrew,4x4,SRW,Gasoline,AUTOMATIC,OXFORD WHITE,XLT C
1FTEW1EP1MFB10137,44075.67,G10442,SuperCrew,4x4,SRW,Gasoline,AUTOMATIC,CARBONIZED GRA,XL STX C
1FTEW1C59MKD17321,44075.67,G10194,SuperCrew,4x2,SRW,Gasoline,AUTOMATIC,ICONIC SILVER,XL STX C
1FTER4EH5MLD32263,44075.67,G10579,SuperCrew,4x2,SRW,Gasoline,AUTOMATIC,VELOCITY BLUE,XLT C
1FTFW1E8XMFA09014,39063.33,G10178,SuperCrew,4x4,SRW,Gasoline,AUTOMATIC,AGATE BLACK,LARIAT L
