VIN,price,Stock #,Mileage,Cab Type,Drivetrain,Fuel Type,Transmission,Color,Vehicle Trim,Rear Wheels,Cab-to-Axle
3C6UR5FL6MG542914,73465.0,MG542914,,Crew,4x4,Diesel,,,Laramie,SRW,
1C6SRFHT8MN619865,71135.0,MN619865,,Crew,4x4,Gasoline,,,Limited,SRW,
3C6UR5DL7MG557604,67615.0,MG557604,,Crew,4x4,Diesel,,,Big Horn,SRW,
3C6UR5FL4MG543091,74660.0,MG543091,,Crew,4x4,Diesel,,,Laramie,SRW,
1C6SRFRT6MN676287,51810.0,MN676287,,Crew,4x4,Gasoline,,,Laramie,SRW,
1C6SRFLT1MN538584,62300.0,MN538584,,Crew,4x4,Gasoline,,,Rebel,SRW,
3C6UR5DL4MG572481,67615.0,MG572481,,Crew,4x4,Diesel,,,Big Horn,SRW,
3C6UR5ML9MG532106,68010.0,MG532106,,Mega,4x4,Diesel,,,Big Horn,SRW,
1C6SRFHT2MN602642,63989.0,MN602642,,Crew,4x4,Gasoline,,,Limited,SRW,
1C6SRFJT3MN654680,67540.0,MN654680,,Crew,4x4,Gasoline,,,Laramie,SRW,
1C6SRFU91MN903588,128045.0,MN903588,,Crew,4x4,Gasoline,,,TRX,SRW,
3C6UR5FL0MG543783,76800.0,MG543783,,Crew,4x4,Diesel,,,Laramie,SRW,
1C6SRFRT9MN683671,60820.0,MN683671,,Crew,4x4,Gasoline,,,Laramie,SRW,
3C6RR7KT6MG587682,42065.0,MG587682,,Crew,4x4,Gasoline,,,Tradesman,SRW,
1C6SRFJT0MN678533,58330.0,MN678533,,Crew,4x4,Gasoline,,,Laramie,SRW,
3C63R3KL5MG551741,87625.0,MG551741,,Crew,4x4,Diesel,,,Laramie Longhorn,SRW,
1C6SRFRT2MN676285,51710.0,MN676285,,Crew,4x4,Gasoline,,,Laramie,SRW,
1FTEW1C87AFC91039,18900.0,AFC91039T,56222,Super,4x2,Gasoline,6-Speed Automatic Electronic,Gold,,SRW,
1FTFW1RG6LFC07105,79900.0,LFC07105T,5593,SuperCrew,4x4,Gasoline,10-Speed Automatic,Blue,Raptor,SRW,
3C6TR5EJ6MG550944,64290.0,MG550944,,Crew,4x4,Gasoline,,,Power Wagon,SRW,
3C6UR5CJ9MG612344,46460.0,MG612344,,Crew,4x4,Gasoline,,,Tradesman,SRW,
1C6SRFPT3MN605003,69210.0,MN605003,,Crew,4x4,Gasoline,,,Limited,SRW,
3C63RRJL5MG588955,80120.0,MG588955,,Crew,4x4,Diesel,,,Laramie,DRW,
3C63RRJL7MG592599,85925.0,MG592599,,Crew,4x4,Diesel,,,Laramie,DRW,
3C6TR5EJ1MG551094,71275.0,MG551094,,Crew,4x4,Gasoline,,,Power Wagon,SRW,
1C6SRFHT1MN674593,71695.0,MN674593,,Crew,4x4,Gasoline,,,Limited,SRW,
1C6RR7GG3MS549069,36949.0,MS549069,,Quad,4x4,Gasoline,,,Warlock,SRW,
3C63RRGL0MG589633,70155.0,MG589633,,Crew,4x4,Diesel,,,Tradesman,DRW,
3C6TR5EJ4MG542924,60170.0,MG542924,,Crew,4x4,Gasoline,,,Power Wagon,SRW,
3C6TR5EJ2MG531856,60685.0,MG531856,,Crew,4x4,Gasoline,,,Power Wagon,SRW,
1C6SRFMT3MN687318,51095.0,MN687318,,Crew,4x4,Gasoline,,,Big Horn,SRW,
1C6SRFHT8MN620191,67495.0,MN620191,,Crew,4x4,Gasoline,,,Limited,SRW,
3C63R3HL6MG596906,76250.0,MG596906,,Crew,4x4,Diesel,,,Big Horn,SRW,
3C63R3GL2MG589825,67575.0,MG589825,,Crew,4x4,Diesel,,,Tradesman,SRW,
3C63R3AJ7MG617898,44395.0,MG617898,,Regular,4x4,Gasoline,,,Tradesman,SRW,
3C63RRJL7MG588956,79920.0,MG588956,,Crew,4x4,Diesel,,,Laramie,DRW,
3C6UR5FL6MG593281,76455.0,MG593281,,Crew,4x4,Diesel,,,Laramie,SRW,
3C63R3AJ9MG600200,44295.0,MG600200,,Regular,4x4,Gasoline,,,Tradesman,SRW,
3C6TR5EJ1MG580594,71475.0,MG580594,,Crew,4x4,Gasoline,,,Power Wagon,SRW,
3C63R3GJXMG618308,49180.0,MG618308,,Crew,4x4,Gasoline,,,Tradesman,SRW,
3C63RRGL9MG589629,70155.0,MG589629,,Crew,4x4,Diesel,,,Tradesman,DRW,
1C6RR7GG1MS549071,39980.0,MS549071,,Quad,4x4,Gasoline,,,Warlock,SRW,
3C63RRJL0MG588958,80020.0,MG588958,,Crew,4x4,Diesel,,,Laramie,DRW,
3C63R3GL9MG589823,67775.0,MG589823,,Crew,4x4,Diesel,,,Tradesman,SRW,
3C63R3GL0MG589824,67575.0,MG589824,,Crew,4x4,Diesel,,,Tradesman,SRW,
3C63R3GL8MG589831,67675.0,MG589831,,Crew,4x4,Diesel,,,Tradesman,SRW,
1C6SRFPT7MN610916,69310.0,MN610916,,Crew,4x4,Gasoline,,,Limited,SRW,
3C6UR5GL2MG598749,81475.0,MG598749,,Crew,4x4,Diesel,,,Laramie Longhorn,SRW,
3C63R3HLXMG596911,76450.0,MG596911,,Crew,4x4,Diesel,,,Big Horn,SRW,
1C6SRFU98MN905385,82590.0,MN905385,,Crew,4x4,Gasoline,,,TRX,SRW,
3C63RRJL4MG577218,80150.0,MG577218,,Crew,4x4,Diesel,,,Laramie,DRW,
1C6SRFJM4MN734482,66775.0,MN734482,,Crew,4x4,Diesel,,,Laramie,SRW,
3C63RRGL7MG589631,70055.0,MG589631,,Crew,4x4,Diesel,,,Tradesman,DRW,
3C6UR5FL2MG543784,76800.0,MG543784,,Crew,4x4,Diesel,,,Laramie,SRW,
1C6SRFHM5MN704879,74155.0,MN704879,,Crew,4x4,Diesel,,,Limited,SRW,
3C63RRJL9MG588960,80120.0,MG588960,,Crew,4x4,Diesel,,,Laramie,DRW,
3C6UR5GL9MG598750,81575.0,MG598750,,Crew,4x4,Diesel,,,Laramie Longhorn,SRW,
3C63R3RL2MG528200,85405.0,MG528200,,Crew,4x4,Diesel,,,Limited,SRW,
3C63RRJLXMG589129,80280.0,MG589129,,Crew,4x4,Diesel,,,Laramie,DRW,
3C6UR5SL4MG577425,83845.0,MG577425,,Crew,4x4,Diesel,,,Limited,SRW,
3C63R3GL6MG589827,67675.0,MG589827,,Crew,4x4,Diesel,,,Tradesman,SRW,
1C6SRFPT5MN610915,69210.0,MN610915,,Crew,4x4,Gasoline,,,Limited,SRW,
3C63R3ELXMG600363,73325.0,MG600363,,Crew,4x4,Diesel,,,Laramie,SRW,
3C63R3GJ8MG618310,49080.0,MG618310,,Crew,4x4,Gasoline,,,Tradesman,SRW,
3C63R3HLXMG596908,76350.0,MG596908,,Crew,4x4,Diesel,,,Big Horn,SRW,
3C6TR5EJ3MG580595,71475.0,MG580595,,Crew,4x4,Gasoline,,,Power Wagon,SRW,
1C6SRFMT6MN695381,56860.0,MN695381,,Crew,4x4,Gasoline,,,Big Horn,SRW,
1C6RR7GGXMS549070,39980.0,MS549070,,Quad,4x4,Gasoline,,,Warlock,SRW,
3C63R3JL2MG551746,75905.0,MG551746,,Crew,4x4,Diesel,,,Laramie,SRW,
3C6TR5CJ4MG501695,54270.0,MG501695,,Crew,4x4,Gasoline,,,Tradesman,SRW,
1C6SRFHMXMN704876,73955.0,MN704876,,Crew,4x4,Diesel,,,Limited,SRW,
3C63R3JL8MG588963,76755.0,MG588963,,Crew,4x4,Diesel,,,Laramie,SRW,
1C6SRFHM1MN704877,74055.0,MN704877,,Crew,4x4,Diesel,,,Limited,SRW,
3C63R3HL4MG550443,64920.0,MG550443,,Crew,4x4,Diesel,,,Big Horn,SRW,
1C6RR7GG3MS549072,39980.0,MS549072,,Quad,4x4,Gasoline,,,Warlock,SRW,
1C6SRFU9XMN905484,120875.0,MN905484,,Crew,4x4,Gasoline,,,TRX,SRW,
3C63R3GL6MG589830,67675.0,MG589830,,Crew,4x4,Diesel,,,Tradesman,SRW,
5TFCZ5AN0KX191004,41995.0,KX191004T,28926,Double,4x4,Gasoline,6-Speed,,SR5,,
1FT8W3BT7LEC83918,82429.0,6C83918,12027,Crew,4x4,Diesel,10-Speed Automatic,Black,King Ranch,SRW,56
3C6UR5PJ1GG299773,47989.0,6299773,65831,Mega,4x4,Gasoline,6-Speed Automatic,White,Laramie Longhorn,SRW,
1FTEW1EGXGFC42964,34200.0,6C42964,57244,SuperCrew,4x4,Gasoline,6-Speed Automatic Electronic,Red,XLT,SRW,
1GCVKSECXEZ360359,33620.0,6360359,63087,Double,4x4,Flex Fuel,6-Speed Automatic Electronic with Overdrive,Black,LTZ,SRW,42
1FTMF1EP9KKC51909,28828.0,6C51909,58848,Regular,4x4,Gasoline,10-Speed Automatic,White,XL,SRW,
5TFAY5F12EX328142,41868.0,6328142,43315,Crew,4x4,Gasoline,6-Speed Automatic Electronic with Overdrive,Gray,1794,,
3GCUYAEF3MG219100,44970.0,FCHM285,,Crew,4x4,Gasoline,6-Speed Automatic Electronic with Overdrive,White,WT,SRW,
1FTSW2B51AEA88623,27690.0,6A88623,47940,Crew,4x4,Gasoline,TorqShift 5-Speed Automatic with Overdrive,White,XLT,SRW,
1GCPYBEK8MZ263660,42800.0,CHM404,,Crew,4x4,Gasoline,8-Speed Automatic,Gray,Custom,SRW,
1FTFW1EGXHKE22717,38716.0,6E22717,92133,SuperCrew,4x4,Gasoline,10-Speed Automatic,Gray,Lariat,SRW,
1FT8W3BT2LEC65245,82595.0,6C65245,11676,Crew,4x4,Diesel,10-Speed Automatic,Black,Platinum,SRW,56
1FTEW1E59JKE32977,39898.0,6E32977,40903,SuperCrew,4x4,Flex Fuel,10-Speed Automatic,Blue,XLT,SRW,
1FTEW1EP3KKC37086,40199.0,6C37086,20827,SuperCrew,4x4,Gasoline,10-Speed Automatic,Red,XL,SRW,
1FTEW1EF7FFB70059,36695.0,6B70059,99287,SuperCrew,4x4,Flex Fuel,6-Speed Automatic Electronic,Gray,Platinum,SRW,
1FT8W3BT8HEE10635,61714.0,6E10635,27701,Crew,4x4,Diesel,TorqShift 6-Speed Automatic,Red,Lariat,SRW,56
1GC4YREYXLF136179,73840.0,6136179,31281,Crew,4x4,Diesel,10-Speed Automatic,Blue,High Country,SRW,
