Color,mean,median,var,std,max,min,count
brown,45583.58,46724.0,271790612.4469697,16486.07328768648,67795.0,11799.0,12
brownstone,31990.0,31990.0,,,31990.0,31990.0,1
brownstone metallic,40572.0,33948.0,152722948.0,12358.11263907236,54830.0,32938.0,3
brt white,51605.0,43577.5,323250510.0,17979.1687794514,85925.0,38400.0,6
burgandy,47995.0,47995.0,,,47995.0,47995.0,1
bwnstone met,53530.0,53530.0,,,53530.0,53530.0,1
c,67919.0,67919.0,,,67919.0,67919.0,1
cactus,37158.67,38156.0,15110105.333333336,3887.171893978106,40450.0,32870.0,3
cactus gray,36603.85,36500.0,22564058.335897435,4750.164032525344,44520.0,27135.0,40
cajun red tintcoat,44186.15,41999.0,60534908.30769228,7780.418260459542,65988.0,37495.0,13
carbon black metallic,22852.0,22852.0,,,22852.0,22852.0,1
carbonized gra,41212.86,40335.0,79181823.8095238,8898.416927157537,56535.0,31920.0,7
carbonized gray,49964.84,46335.0,201319698.506011,14188.717296007098,86650.0,30260.0,61
carbonized gray metallic,49894.99,45865.0,167608628.00854695,12946.375091451157,85200.0,30480.0,117
carbonized gre,50496.67,46362.5,111346974.24242423,10552.107573486172,76950.0,39230.0,12
carbonized grey,50945.0,50945.0,,,50945.0,50945.0,1
cardinal red,37888.75,34988.0,38444794.24999999,6200.386621010015,47180.0,34399.0,4
caribou metalli,37998.0,37998.0,,,37998.0,37998.0,1
caribou metallic,27967.5,27967.5,3855864.5,1963.6355313550425,29356.0,26579.0,2
case ih red,47640.0,47640.0,,,47640.0,47640.0,1
cayenne red tintcoat,67132.5,71607.5,222311841.66666666,14910.125474544695,78605.0,46710.0,4
champagne,26999.0,26999.0,,,26999.0,26999.0,1
charcoal,48949.0,48949.0,,,48949.0,48949.0,1
cherry red tintcoat,61350.83,56810.0,160685693.60474306,12676.1860827594,86180.0,41750.0,23
chili pepper red,39486.0,39486.0,478242.0,691.5504320004435,39975.0,38997.0,2
cyber gray metallic,25126.0,25126.0,,,25126.0,25126.0,1
cyber oran met,44820.0,44820.0,,,44820.0,44820.0,1
cyber orange,39688.75,40692.5,28907122.916666668,5376.534470889837,45115.0,32255.0,4
cyber orange metallic tricoat,38897.5,38897.5,2111512.5,1453.1044353383552,39925.0,37870.0,2
dark blue pearl metallic,21888.0,21888.0,,,21888.0,21888.0,1
dark gray metallic,20263.5,20263.5,254318904.5,15947.379236100207,31540.0,8987.0,2
dark shadow grey metallic,13993.0,13993.0,,,13993.0,13993.0,1
dark sky metallic,64809.14,59968.0,111818511.80952382,10574.427256807994,77987.0,48987.0,7
dark slate metallic,50311.67,47749.0,328709481.3333334,18130.3469722268,69587.0,33599.0,3
deep cherry red crystal pearlcoat,27488.0,27488.0,,,27488.0,27488.0,1
deep ocean blue metallic,45995.0,45995.0,,,45995.0,45995.0,1
deep ruby metallic,39626.67,38238.0,33023550.266666673,5746.61206857281,51035.0,34980.0,6
delmonico,69919.0,69919.0,,,69919.0,69919.0,1
delmonico rd pl,72985.0,72985.0,,,72985.0,72985.0,1
delmonico red pea,45977.0,45977.0,8470728.0,2910.4515113638295,48035.0,43919.0,2
